Name;Color;Mean Stego Images Size;Standard Deviation of Stego Images Sizes;Non-Stego Size - Stego Image Size;Mean Stego Images MSE;Standard Deviation of Stego Images MSE;Mean PSNR;Standard Deviation PSNR
b-g-s.jpg;grayscale;18751.4;62.28193959728615;[4481.0, 4474.0, 4461.0, 4395.0, 4317.0];1.0001358032226562;0.513474633286283;48.641426513722955;2.043923218725565
b-s.jpg;colourful;19365.6;71.4551607653359;[2265.0, 2260.0, 2251.0, 2156.0, 2085.0];1.5105916341145833;0.7158412399642888;46.774432985215114;1.8842706003941476
c-g-s.jpg;grayscale;30787.2;33.837257572090564;[8155.0, 8160.0, 8159.0, 8099.0, 8081.0];1.2922103881835938;0.5409371757233036;47.35938810925255;1.6744347651137632
c-s.jpg;colourful;34424.0;40.97804290104641;[3956.0, 3946.0, 3942.0, 3907.0, 3844.0];2.6200388590494788;0.7915479314686555;44.12510925492768;1.2062194712327041
fo-g-s.jpg;grayscale;23947.6;48.48339922076422;[5081.0, 5063.0, 5068.0, 5028.0, 4947.0];1.0127777099609374;0.4903225770098508;48.529957081745636;1.926094327876269
fo-s.jpg;colourful;27687.6;45.85891407349284;[3328.0, 3329.0, 3314.0, 3266.0, 3210.0];2.3867825826009113;0.9248318827897971;44.642365485209204;1.5376587228327452
n-g-s.jpg;grayscale;33927.2;27.53470537340104;[8438.0, 8424.0, 8427.0, 8399.0, 8361.0];1.2402130126953126;0.430782065473679;47.42934607065878;1.3823499914004038
n-s.jpg;colourful;38126.0;28.962044126753206;[4012.0, 4001.0, 4012.0, 3980.0, 3935.0];2.6754079182942707;0.6932287937257303;43.988861060924236;1.043740408130211
p-g-s.jpg;grayscale;23929.4;20.732583051805193;[4912.0, 4894.0, 4911.0, 4879.0, 4857.0];0.9129379272460938;0.4101996712066626;48.91917418505405;1.7930666877963874
p-s.jpg;colourful;26667.0;24.108089928486663;[3459.0, 3461.0, 3454.0, 3428.0, 3398.0];1.8721654256184894;0.6833987280254994;45.66654110376568;1.4576075126063022
r-g-s.jpg;grayscale;31062.2;23.608473055240147;[7174.0, 7178.0, 7181.0, 7164.0, 7117.0];1.1421348571777343;0.41374029451723165;47.808817714964505;1.4462463419394078
r-s.jpg;colourful;33677.0;32.16830738475371;[3840.0, 3835.0, 3821.0, 3797.0, 3752.0];2.084130859375;0.6665573987036403;45.14032489217029;1.2766428666774954
se-g-s.jpg;grayscale;25171.0;29.543188724306656;[5513.0, 5496.0, 5486.0, 5462.0, 5428.0];0.9856170654296875;0.42390964976637385;48.551309499828804;1.7084209594833444
se-s.jpg;colourful;27100.4;32.90349525506371;[3475.0, 3465.0, 3459.0, 3430.0, 3384.0];1.927207692464193;0.6621418106436281;45.508850403453174;1.3620739720569446
st-g-s.jpg;grayscale;40361.0;19.667231630303235;[9656.0, 9667.0, 9671.0, 9638.0, 9618.0];1.5218666076660157;0.5493878944471787;46.562438970240486;1.4498691562327015
st-s.jpg;colourful;43570.4;36.092104399716014;[4078.0, 4085.0, 4083.0, 4058.0, 3989.0];2.6032079060872393;0.7571380219355208;44.13980126183291;1.1598012968737952
