Name;Color;Mean Stego Images Size;Standard Deviation of Stego Images Sizes;Non-Stego Size - Stego Image Size;Mean Stego Images MSE;Standard Deviation of Stego Images MSE;Mean PSNR;Standard Deviation PSNR
b-g-s.jpg;grayscale;19341.6;377.53601152737735;[3533.0, 3559.0, 3585.0, 3987.0, 4513.0];0.69442138671875;0.4041993879600484;50.34402930341635;2.238772552836345
b-s.jpg;colourful;19859.0;412.0441723893204;[1381.0, 1416.0, 1445.0, 1846.0, 2462.0];1.352724202473958;0.43081161743184854;47.010942139146366;1.2475445187050835
c-g-s.jpg;grayscale;32496.4;203.42133614741596;[6270.0, 6291.0, 6294.0, 6444.0, 6809.0];0.8037147521972656;0.33915836111570385;49.40190460075944;1.5948084176576676
c-s.jpg;colourful;36188.0;182.60668114830847;[2013.0, 2016.0, 2044.0, 2213.0, 2489.0];1.9349156697591148;0.44336171604107705;45.365409941593285;0.9097173908979811
fo-g-s.jpg;grayscale;25206.6;208.560398925587;[3613.0, 3620.0, 3657.0, 3841.0, 4161.0];0.6081626892089844;0.285903716194401;50.70165844041493;1.8130814535958464
fo-s.jpg;colourful;29071.2;210.9126833549846;[1727.0, 1754.0, 1780.0, 1980.0, 2288.0];1.9765329996744794;0.5659062661032122;45.32926635459651;1.1333083183198334
n-g-s.jpg;grayscale;35944.2;165.29053209424913;[6267.0, 6283.0, 6282.0, 6431.0, 6701.0];0.668023681640625;0.18651778925961807;50.031593482590026;1.0994161772599456
n-s.jpg;colourful;40228.4;175.52048313516005;[1748.0, 1758.0, 1787.0, 1921.0, 2214.0];1.9868878682454425;0.3433606465500271;45.20783421945076;0.6968224114478744
p-g-s.jpg;grayscale;25160.2;225.5813822105007;[3476.0, 3497.0, 3527.0, 3724.0, 4075.0];0.5069252014160156;0.2161661707087497;51.41576573648433;1.6318772852343022
p-s.jpg;colourful;27974.0;270.1236753785199;[1918.0, 1945.0, 1965.0, 2204.0, 2633.0];1.4296290079752605;0.3728662026087397;46.70909624648724;1.0315784011467926
r-g-s.jpg;grayscale;32848.8;190.35062384977886;[5236.0, 5242.0, 5255.0, 5415.0, 5733.0];0.629119873046875;0.23561441858598398;50.40184910538687;1.435514898978887
r-s.jpg;colourful;35507.2;176.71604341428653;[1841.0, 1847.0, 1884.0, 2012.0, 2310.0];1.5241953531901042;0.28220344727432867;46.36774637541406;0.7457079677913351
se-g-s.jpg;grayscale;26417.2;229.36643172007538;[4039.0, 4072.0, 4091.0, 4301.0, 4651.0];0.5544822692871094;0.22703217689627855;51.00472998502156;1.5838168767058598
se-s.jpg;colourful;28359.8;261.1845324669897;[1987.0, 1992.0, 2013.0, 2260.0, 2664.0];1.3055539449055988;0.3342788968822293;47.098848654485415;1.0139162205203431
st-g-s.jpg;grayscale;42713.4;150.46142362745343;[7174.0, 7192.0, 7197.0, 7357.0, 7568.0];0.9817626953125;0.3490116725722832;48.447370483516515;1.379418452307597
st-s.jpg;colourful;45863.0;164.11093808762413;[1636.0, 1660.0, 1667.0, 1791.0, 2076.0];1.859674580891927;0.38517053374578436;45.51952493339123;0.8252157269673914
