
File name,Above stego threshold?,Secret message size in bytes (ignore for clean files),Primary Sets,Chi Square,Sample Pairs,RS analysis,Fusion (mean)
food-grayscale-stego.jpg,false,29,0.018738316197050874,null,0.003045917493214768,0.002732758483628029,0.008172330724631223
mountain-grayscale.jpg,false,133,0.027759539780184323,null,0.04377899664629317,0.007539152572133707,0.026359229666203732
building-stego.jpg,false,16,0.002473209426426753,null,0.0038210607380577935,0.012300289207252926,0.006198186457245823
sea-stego.jpg,false,53,0.014455362919840974,null,0.01026094259225599,0.014654152943090176,0.013123486151729044
space.jpg,false,35,4.485766308790995E-4,null,0.01515338897014234,0.010084201507221887,0.008562055702747776
party-stego.jpg,false,81,0.02509546157056093,null,0.02423902071761269,0.010966083560116323,0.020100188616096647
cloud.jpg,false,13,0.00934837423754793,null,9.861686529960801E-4,0.003422561691532904,0.004585701527358971
tiger-grayscale.jpg,false,171,0.055974058465766634,null,0.024956175552085454,0.022030484644917726,0.03432023955425661
party-grayscale-stego.jpg,false,78,0.049070729112197085,null,0.014434763341972821,0.001387797634132446,0.021631096696100787
sea-grayscale-stego.jpg,false,62,0.023698834900409433,null,0.0178509917898621,0.008906198008576631,0.016818674899616054
tennis.jpg,false,345,0.07155867249018473,null,0.048938606124718814,0.06620254563458597,0.062233274749829835
kitchen.jpg,false,34,0.011708245968170746,null,0.0019242713933929872,0.007559066850913685,0.007063861404159139
flower-grayscale.jpg,false,23,0.008960226246726804,null,0.008058880388059003,0.0032238442807095884,0.006747650305165131
city-stego.jpg,false,673,0.15028862630072645,null,0.11018423630944628,0.12486582496182594,0.1284462291906662
stadium-stego.jpg,false,1282,NaN,null,0.18205946643760793,0.201230779558826,0.19164512299821695
tennis-grayscale.jpg,false,160,0.04198252989455952,null,0.02727162928135089,0.027219406727789774,0.03215785530123339
tiger.jpg,false,223,0.08074207659344708,null,0.01847762634757855,0.022502052097357277,0.040573918346127634
cloud-grayscale.jpg,false,6,0.005738283620183756,null,0.0010940756897028048,0.00105008680356552,0.0026274820378173603
stadium-grayscale-stego.jpg,false,849,0.15198747312637279,null,0.10566679027115734,0.1528176060790733,0.13682395649220114
nature-grayscale-stego.jpg,false,286,0.0522975942433924,null,0.06752710338950692,0.04769434881088039,0.05583968214792657
building-grayscale-stego.jpg,false,12,0.005601520908673003,null,0.004283726753729866,0.004578717372999683,0.004821321678467517
river-grayscale-stego.jpg,false,360,0.13324776631276078,null,0.03515091308141542,0.060664526501172523,0.07635440196511624
river-stego.jpg,false,429,0.13448359345604208,null,0.037644717175032816,0.0782229715207735,0.08345042738394946
food-stego.jpg,false,153,0.04359189351467502,null,0.02869924323172161,0.0382368297160937,0.036842655487496774
flower.jpg,false,14,0.0015413682261228854,null,0.0016510671915349,0.007077026932504841,0.0034231541167208755
nature-stego.jpg,false,962,0.038017366688978475,null,0.22662982296168988,0.2384626646347101,0.16770328476179283
mountain.jpg,false,35,0.001303403260388581,null,0.008280028561196749,0.009944877002441354,0.0065094362746755605
city-grayscale-stego.jpg,false,527,0.09204028245052755,null,0.10662262173841784,0.1358429916055635,0.1115019652648363
kitchen-grayscale.jpg,false,19,0.0018246751907516603,null,0.003187539780780764,0.008862353728319018,0.004624856233283813
space-grayscale.jpg,false,63,0.026839880764494548,null,0.006567524177454588,0.016559240764560987,0.01665554856883671
