Name,Size,DimensionsColor,MSE,PSNR
b-g-s.jpg,27086.00 B,512X512,grayscale,119.94118118286133,18.78563536032297
b-g.jpg,23177.00 B,512X512,grayscale,119.94118118286133,18.78563536032297
b-s.jpg,19904.00 B,512X512,colourful,318.9544868469238,6.253462957448271
b.jpg,21569.00 B,512X512,colourful,318.9544868469238,6.253462957448271
c-g-s.jpg,44733.00 B,512X512,grayscale,80.64433288574219,17.65725134776509
c-g.jpg,38918.00 B,512X512,grayscale,80.64433288574219,17.65725134776509
c-s.jpg,35836.00 B,512X512,colourful,27.41940689086914,4.552741071700803
c.jpg,38343.00 B,512X512,colourful,27.41940689086914,4.552741071700803
fo-g-s.jpg,33777.00 B,512X512,grayscale,70.64973068237305,18.867270385094802
fo-g.jpg,28985.00 B,512X512,grayscale,70.64973068237305,18.867270385094802
fo-s.jpg,28777.00 B,512X512,colourful,248.08809280395508,5.866722112776797
fo.jpg,30977.00 B,512X512,colourful,248.08809280395508,5.866722112776797
n-g-s.jpg,49175.00 B,512X512,grayscale,130.73656463623047,15.60250253756827
n-g.jpg,42337.00 B,512X512,grayscale,130.73656463623047,15.60250253756827
n-s.jpg,39745.00 B,512X512,colourful,164.92258071899414,10.197912187928162
n.jpg,42114.00 B,512X512,colourful,164.92258071899414,10.197912187928162
p-g-s.jpg,33494.00 B,512X512,grayscale,135.36676406860352,21.767370119008955
p-g.jpg,28820.00 B,512X512,grayscale,135.36676406860352,21.767370119008955
p-s.jpg,27679.00 B,512X512,colourful,140.0929946899414,11.546814505597096
p.jpg,30107.00 B,512X512,colourful,140.0929946899414,11.546814505597096
r-g-s.jpg,44414.00 B,512X512,grayscale,124.21871948242188,20.320264212698426
r-g.jpg,38225.00 B,512X512,grayscale,124.21871948242188,20.320264212698426
r-s.jpg,35041.00 B,512X512,colourful,121.15814590454102,11.657588903424507
r.jpg,37486.00 B,512X512,colourful,121.15814590454102,11.657588903424507
se-g-s.jpg,35698.00 B,512X512,grayscale,129.06057739257812,24.805813212560363
se-g.jpg,30648.00 B,512X512,grayscale,129.06057739257812,24.805813212560363
se-s.jpg,28093.00 B,512X512,colourful,178.50706100463867,9.296897925086032
se.jpg,30543.00 B,512X512,colourful,178.50706100463867,9.296897925086032
st-g-s.jpg,58442.00 B,512X512,grayscale,125.10827255249023,19.326766461752463
st-g.jpg,50011.00 B,512X512,grayscale,125.10827255249023,19.326766461752463
