Name,Size,DimensionsColor,MSE,PSNR
b-g-s.jpg,27131.00 B,512X512,grayscale,119.83349990844727,18.78548109724483
b-g.jpg,23177.00 B,512X512,grayscale,119.83349990844727,18.78548109724483
b-s.jpg,19967.00 B,512X512,colourful,319.38896560668945,6.253896814333862
b.jpg,21569.00 B,512X512,colourful,319.38896560668945,6.253896814333862
c-g-s.jpg,44769.00 B,512X512,grayscale,80.75929641723633,17.657144433582424
c-g.jpg,38918.00 B,512X512,grayscale,80.75929641723633,17.657144433582424
c-s.jpg,35860.00 B,512X512,colourful,27.35077667236328,4.5526648768829014
c.jpg,38343.00 B,512X512,colourful,27.35077667236328,4.5526648768829014
fo-g-s.jpg,33757.00 B,512X512,grayscale,70.67703247070312,18.867152385624184
fo-g.jpg,28985.00 B,512X512,grayscale,70.67703247070312,18.867152385624184
fo-s.jpg,28807.00 B,512X512,colourful,247.95216369628906,5.867536755341604
fo.jpg,30977.00 B,512X512,colourful,247.95216369628906,5.867536755341604
n-g-s.jpg,49132.00 B,512X512,grayscale,130.77514266967773,15.602445827610083
n-g.jpg,42337.00 B,512X512,grayscale,130.77514266967773,15.602445827610083
n-s.jpg,39759.00 B,512X512,colourful,164.8365135192871,10.197981691215084
n.jpg,42114.00 B,512X512,colourful,164.8365135192871,10.197981691215084
p-g-s.jpg,33477.00 B,512X512,grayscale,135.80046463012695,21.767126194478696
p-g.jpg,28820.00 B,512X512,grayscale,135.80046463012695,21.767126194478696
p-s.jpg,27686.00 B,512X512,colourful,140.02539443969727,11.547039205998033
p.jpg,30107.00 B,512X512,colourful,140.02539443969727,11.547039205998033
r-g-s.jpg,44449.00 B,512X512,grayscale,124.06482315063477,20.32005296003327
r-g.jpg,38225.00 B,512X512,grayscale,124.06482315063477,20.32005296003327
r-s.jpg,35038.00 B,512X512,colourful,121.23469924926758,11.657322174678935
r.jpg,37486.00 B,512X512,colourful,121.23469924926758,11.657322174678935
se-g-s.jpg,35664.00 B,512X512,grayscale,128.8734893798828,24.80537728725392
se-g.jpg,30648.00 B,512X512,grayscale,128.8734893798828,24.80537728725392
se-s.jpg,28109.00 B,512X512,colourful,178.3846664428711,9.297196220106134
se.jpg,30543.00 B,512X512,colourful,178.3846664428711,9.297196220106134
st-g-s.jpg,58428.00 B,512X512,grayscale,124.92663192749023,19.32684738299107
st-g.jpg,50011.00 B,512X512,grayscale,124.92663192749023,19.32684738299107
