Name,Size,DimensionsColor,MSE,PSNR
b-g-s.jpg,27130.00 B,512X512,grayscale,119.74032974243164,18.785502420859466
b-g.jpg,23177.00 B,512X512,grayscale,119.74032974243164,18.785502420859466
b-s.jpg,19940.00 B,512X512,colourful,319.4194793701172,6.254160813815722
b.jpg,21569.00 B,512X512,colourful,319.4194793701172,6.254160813815722
c-g-s.jpg,44712.00 B,512X512,grayscale,80.80743789672852,17.657212436263773
c-g.jpg,38918.00 B,512X512,grayscale,80.80743789672852,17.657212436263773
c-s.jpg,35847.00 B,512X512,colourful,27.35167694091797,4.552383331989645
c.jpg,38343.00 B,512X512,colourful,27.35167694091797,4.552383331989645
fo-g-s.jpg,33741.00 B,512X512,grayscale,70.66172409057617,18.867183025267277
fo-g.jpg,28985.00 B,512X512,grayscale,70.66172409057617,18.867183025267277
fo-s.jpg,28790.00 B,512X512,colourful,248.12461471557617,5.866778758030536
fo.jpg,30977.00 B,512X512,colourful,248.12461471557617,5.866778758030536
n-g-s.jpg,49160.00 B,512X512,grayscale,130.80572128295898,15.602475239194453
n-g.jpg,42337.00 B,512X512,grayscale,130.80572128295898,15.602475239194453
n-s.jpg,39760.00 B,512X512,colourful,164.84868240356445,10.19736788871775
n.jpg,42114.00 B,512X512,colourful,164.84868240356445,10.19736788871775
p-g-s.jpg,33509.00 B,512X512,grayscale,135.8048324584961,21.767064309738274
p-g.jpg,28820.00 B,512X512,grayscale,135.8048324584961,21.767064309738274
p-s.jpg,27681.00 B,512X512,colourful,139.96814727783203,11.54705628786096
p.jpg,30107.00 B,512X512,colourful,139.96814727783203,11.54705628786096
r-g-s.jpg,44439.00 B,512X512,grayscale,124.17145919799805,20.32017182781957
r-g.jpg,38225.00 B,512X512,grayscale,124.17145919799805,20.32017182781957
r-s.jpg,35054.00 B,512X512,colourful,121.17919921875,11.657045118938607
r.jpg,37486.00 B,512X512,colourful,121.17919921875,11.657045118938607
se-g-s.jpg,35692.00 B,512X512,grayscale,128.96854400634766,24.805365269432265
se-g.jpg,30648.00 B,512X512,grayscale,128.96854400634766,24.805365269432265
se-s.jpg,28087.00 B,512X512,colourful,178.48862838745117,9.296833840896648
se.jpg,30543.00 B,512X512,colourful,178.48862838745117,9.296833840896648
st-g-s.jpg,58471.00 B,512X512,grayscale,124.88529968261719,19.327061941396952
st-g.jpg,50011.00 B,512X512,grayscale,124.88529968261719,19.327061941396952
