Name,Size,Dimensions,Color,MSE,PSNR
b-g-s.jpg,18716.00 B,512X512,grayscale,0.715576171875,49.58424490397249
b-g.jpg,23177.00 B,512X512,grayscale,0.715576171875,49.58424490397249
b-s.jpg,19318.00 B,512X512,colourful,1.0798988342285156,47.79697288523753
b.jpg,21569.00 B,512X512,colourful,1.0798988342285156,47.79697288523753
c-g-s.jpg,30759.00 B,512X512,grayscale,0.9784126281738281,48.22558311452501
c-g.jpg,38918.00 B,512X512,grayscale,0.9784126281738281,48.22558311452501
c-s.jpg,34401.00 B,512X512,colourful,2.154017130533854,44.79831208021666
c.jpg,38343.00 B,512X512,colourful,2.154017130533854,44.79831208021666
fo-g-s.jpg,23917.00 B,512X512,grayscale,0.7288246154785156,49.50457328700502
fo-g.jpg,28985.00 B,512X512,grayscale,0.7288246154785156,49.50457328700502
fo-s.jpg,27663.00 B,512X512,colourful,1.8470916748046875,45.46591910000615
fo.jpg,30977.00 B,512X512,colourful,1.8470916748046875,45.46591910000615
n-g-s.jpg,33910.00 B,512X512,grayscale,1.0009117126464844,48.12684589483947
n-g.jpg,42337.00 B,512X512,grayscale,1.0009117126464844,48.12684589483947
n-s.jpg,38102.00 B,512X512,colourful,2.301868438720703,44.5099986258647
n.jpg,42114.00 B,512X512,colourful,2.301868438720703,44.5099986258647
p-g-s.jpg,23909.00 B,512X512,grayscale,0.6791038513183594,49.81144167433165
p-g.jpg,28820.00 B,512X512,grayscale,0.6791038513183594,49.81144167433165
p-s.jpg,26653.00 B,512X512,colourful,1.4719632466634114,46.4518339459642
p.jpg,30107.00 B,512X512,colourful,1.4719632466634114,46.4518339459642
r-g-s.jpg,31044.00 B,512X512,grayscale,0.8952522277832031,48.61134950466016
r-g.jpg,38225.00 B,512X512,grayscale,0.8952522277832031,48.61134950466016
r-s.jpg,33665.00 B,512X512,colourful,1.6861979166666667,45.86171812482152
r.jpg,37486.00 B,512X512,colourful,1.6861979166666667,45.86171812482152
se-g-s.jpg,25162.00 B,512X512,grayscale,0.7399330139160156,49.438879560064386
se-g.jpg,30648.00 B,512X512,grayscale,0.7399330139160156,49.438879560064386
se-s.jpg,27084.00 B,512X512,colourful,1.5425631205240886,46.24837416795084
se.jpg,30543.00 B,512X512,colourful,1.5425631205240886,46.24837416795084
st-g-s.jpg,40340.00 B,512X512,grayscale,1.2167739868164062,47.278704444242614
st-g.jpg,50011.00 B,512X512,grayscale,1.2167739868164062,47.278704444242614
st-s.jpg,43546.00 B,512X512,colourful,2.1733016967773438,44.75960341795083
st.jpg,47629.00 B,512X512,colourful,2.1733016967773438,44.75960341795083
