
File name,Above stego threshold?,Secret message size in bytes (ignore for clean files),Primary Sets,Chi Square,Sample Pairs,RS analysis,Fusion (mean)
b-g-s.jpg,false,11,4.8209527343944447E-4,0.0019918559756733328,0.0029833942620964803,0.00152730864228936,0.0017461635383746545
n-g-s.jpg,false,140,0.014653084829537841,0.011150508412789995,0.014971052551928746,0.006348583722965529,0.011780807379305529
c-g-s.jpg,false,66,0.004989797605015116,0.0024648537835028953,0.009259895817738143,0.008018977220747125,0.00618338110675082
st-s.jpg,false,451,0.0545372066129423,0.001940612192450245,0.033285583763791704,0.02899856645025057,0.029690492254858702
se-s.jpg,false,37,3.1101733797412744E-4,0.007638331982170794,0.004277850056993404,0.00378876187310199,0.004003990312560079
fo-g-s.jpg,false,10,0.0015079664486405203,0.0018009160049012784,5.748956341512012E-4,7.868809641404313E-4,0.0011676647629583576
fo-s.jpg,false,88,0.009543622785495346,0.011344047209638494,0.0062969925889981015,0.009799383739347753,0.009246011580869924
c-s.jpg,false,219,0.02596748448842962,0.0016188324409380731,0.02115994889001054,0.024508498456221457,0.01831369106889992
se-g-s.jpg,false,32,0.005004324731897226,0.0013824624736011968,0.006775776905112532,0.001412308169606218,0.0036437180700542937
n-s.jpg,false,331,0.0028829045577846435,0.015029698842581209,0.0413573778608769,0.04022396668203511,0.024873486985819464
st-g-s.jpg,false,93,0.012634046519992883,4.755706853825582E-4,0.005362135937359821,0.007768193535336022,0.006559986669517821
r-g-s.jpg,false,78,0.011891577438684311,0.00354027057563884,0.009954767754827964,0.0032571429195461838,0.007160939672174325
p-s.jpg,false,33,0.004846076782322226,0.004531939660241432,0.0031874199317712335,0.0016340224139725344,0.0035498646970768565
p-g-s.jpg,false,37,0.005436148194918049,0.0025126152482551228,0.004064599983409639,0.005774536228111148,0.0044469749136734895
r-s.jpg,false,367,0.01625637869172938,0.09994321723023514,0.00232100074080805,0.00658878169747113,0.03127734459006092
b-s.jpg,false,16,0.0014855164405937803,0.0,0.005026700511025686,0.003529833498696582,0.002510512612579012
