
File name,Above stego threshold?,Secret message size in bytes (ignore for clean files),Primary Sets,Chi Square,Sample Pairs,RS analysis,Fusion (mean)
food-grayscale-stego.jpg,false,19,0.0038015395528208052,null,0.0020820494623612585,0.009120817112932528,0.0050014687093715305
mountain-grayscale.jpg,false,133,0.027759539780184323,null,0.04377899664629317,0.007539152572133707,0.026359229666203732
building-stego.jpg,false,30,0.009416939192987799,null,0.010574524475753912,0.013161181235468986,0.011050881634736899
sea-stego.jpg,false,87,0.024659916203836656,null,0.021475003358211297,0.016064725356792257,0.020733214972946737
space.jpg,false,35,4.485766308790995E-4,null,0.01515338897014234,0.010084201507221887,0.008562055702747776
party-stego.jpg,false,29,0.010436209407875258,null,0.0028575966014860537,0.007346376153152348,0.006880060720837887
cloud.jpg,false,13,0.00934837423754793,null,9.861686529960801E-4,0.003422561691532904,0.004585701527358971
tiger-grayscale.jpg,false,171,0.055974058465766634,null,0.024956175552085454,0.022030484644917726,0.03432023955425661
party-grayscale-stego.jpg,false,21,0.006374064272000989,null,7.446455179624809E-4,0.009356557692294733,0.005491755827419401
sea-grayscale-stego.jpg,false,50,0.02504056234273421,null,0.007644043146409952,0.006358975778516055,0.013014527089220072
tennis.jpg,false,345,0.07155867249018473,null,0.048938606124718814,0.06620254563458597,0.062233274749829835
kitchen.jpg,false,34,0.011708245968170746,null,0.0019242713933929872,0.007559066850913685,0.007063861404159139
flower-grayscale.jpg,false,23,0.008960226246726804,null,0.008058880388059003,0.0032238442807095884,0.006747650305165131
city-stego.jpg,false,482,0.10326736817634496,null,0.07165794430286765,0.0881820158949442,0.08770244279138562
stadium-stego.jpg,false,1018,0.19516639092826849,null,0.1180321124003203,0.12415511723168601,0.14578454018675827
tennis-grayscale.jpg,false,160,0.04198252989455952,null,0.02727162928135089,0.027219406727789774,0.03215785530123339
tiger.jpg,false,223,0.08074207659344708,null,0.01847762634757855,0.022502052097357277,0.040573918346127634
cloud-grayscale.jpg,false,6,0.005738283620183756,null,0.0010940756897028048,0.00105008680356552,0.0026274820378173603
stadium-grayscale-stego.jpg,false,605,0.12258182867559585,null,0.06260682757290424,0.09394753088930646,0.09304539571260217
nature-grayscale-stego.jpg,false,702,0.1645229582644987,null,0.15499471007788987,0.07407373399242648,0.13119713411160502
building-grayscale-stego.jpg,false,8,5.828122143445171E-4,null,0.005548185077356938,0.0027321659020585224,0.002954387731253326
river-grayscale-stego.jpg,false,80,0.012607519873011846,null,0.00210295819513421,0.03366855648111325,0.016126344849753102
river-stego.jpg,false,317,NaN,null,0.05162866756725162,0.06664007176145449,0.05913436966435305
food-stego.jpg,false,133,0.036867805626148366,null,0.028222957340734715,0.026695642865585498,0.03059546861082286
flower.jpg,false,14,0.0015413682261228854,null,0.0016510671915349,0.007077026932504841,0.0034231541167208755
nature-stego.jpg,false,686,0.003522866733930529,null,0.1612331126244918,0.17768175554903154,0.11414591163581796
mountain.jpg,false,35,0.001303403260388581,null,0.008280028561196749,0.009944877002441354,0.0065094362746755605
city-grayscale-stego.jpg,false,386,0.07703715859865322,null,0.07486115411557047,0.08255464377408345,0.07815098549610237
kitchen-grayscale.jpg,false,19,0.0018246751907516603,null,0.003187539780780764,0.008862353728319018,0.004624856233283813
space-grayscale.jpg,false,63,0.026839880764494548,null,0.006567524177454588,0.016559240764560987,0.01665554856883671
